name,ontour,playcount,listeners,genre1,genre2,genre3,sex,first_album,age (since 1st album)
Daft Punk,0,289378083,5019064,electronic,house,dance,mb,1997.0,26.0
Shawn Mendes,0,89571587,1815069,pop,folk,acoustic,m,2015.0,8.0
Evanescence,0,130748696,3125038,rock,gothic rock,gothic,mfb,2003.0,20.0
Daniel Caesar,1,74312017,1291496,rnb,soul,neo soul,m,2017.0,6.0
Olivia Rodrigo,1,234477137,1866162,pop,pop rock,rock,f,2021.0,2.0
PARTYNEXTDOOR,0,41599425,1094835,rnb,soul,hip hop,m,2014.0,9.0
2Pac,0,96308963,3186835,rap,hip hop,gangsta rap,m,1991.0,32.0
The Killers,1,271097844,5572990,indie,rock,indie rock,mb,2004.0,19.0
Pearl Jam,0,183953906,3396225,grunge,rock,alternative rock,mb,1991.0,32.0
Thundercat,0,44973698,1319484,funk,electronic,jazz,m,2011.0,12.0
Tame Impala,0,220703767,2803502,psychedelic rock,psychedelic,indie rock,m,2010.0,13.0
BTS,0,1866639416,1519594,k pop,pop,bts,mb,2014.0,9.0
Ellie Goulding,0,114149375,2937750,electronic,british,indie,f,2010.0,13.0
Post Malone,1,195587466,2371092,hip hop,rap,trap,m,2016.0,7.0
Shakira,0,113363596,3610071,pop,latin,rock,f,1991.0,32.0
Panic! at the Disco,0,195018282,3438199,rock,alternative,emo,mb,2005.0,18.0
Lady Gaga,0,524023897,5580344,pop,dance,electronic,f,2008.0,15.0
Tom Odell,0,28256015,1357035,indie,folk,british,m,2013.0,10.0
Led Zeppelin,0,245827280,3865827,classic rock,rock,hard rock,mb,1969.0,54.0
OutKast,0,92906110,3725471,hip hop,rap,funk,mb,1994.0,29.0
Cage the Elephant,0,86708265,2413306,indie rock,alternative,rock,mb,2008.0,15.0
Dean Martin,0,26989837,2047721,jazz,swing,oldies,m,1953.0,70.0
Beach House,0,154471127,2400916,dream pop,indie pop,indie,mfb,2006.0,17.0
Chief Keef,0,61204285,1012118,hip hop,rap,drill,m,2012.0,11.0
Nas,0,92888365,2732037,hip hop,rap,east coast rap,m,1994.0,29.0
Oasis,0,200732714,4552807,rock,british,alternative,mb,1994.0,29.0
Jid,0,51340862,766499,rap,hip hop,conscious hip hop,m,2017.0,6.0
